hip_number,in_out_status,foaling_year,horse_name,color,sex,foaling_date,sire_name,dam_name,sort_dam,dam_sire,property_line_1,property_line_2,consignor_sort,foaling_area,barn_number,buyer_name,hammer_price,post_sale_indicator,outdate,ut_time,ut_distance,ut_actual_date,ut_group,ut_set,pp_pdf_link
1,I,2023,,DB/BR,F,04/15/2023,Basin,Kada,536,Violence,Goldencents Thoroughbreds,,Goldencents Thoroughbreds,KY,16,Luis Alvarado,47000,Y,,10.1," 1/8",04/06/2025,3,106,
2,O,2023,,B,C,05/11/2023,Into Mischief,Kadira,537,Kafwain,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),KY,10,OUT,,,04/01/2025,,,,,,
3,I,2023,,DB/BR,C,05/10/2023,Bolt d'Oro,Kahrumana,538,Shamardal,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,S G V Thoroughbreds LLC (Steven Venosa),KY,10,Harmash Racing,40000,,,10.2," 1/8",04/06/2025,1,13,
4,I,2023,,B,C,05/04/2023,Improbable,Karakorum Elektra,539,Freud,"My Little Stable Racing, Inc., Agent III",,My Little Stable Racing,KY,14,Imagine...,200000,,,10.0," 1/8",04/06/2025,1,46,
5,I,2023,Voko Ono,CH,F,05/03/2023,Vekoma,Kelly's Prize,540,Pure Prize,Golden Thoroughbreds Training and Sales,,Golden Thoroughbreds Training and Sales,NY,C,Siegel Sez Stable & Funky Munky Stables,75000,,,10.1," 1/8",04/06/2025,2,93,
6,I,2023,,GR/RO,F,03/15/2023,Knicks Go,Kendalin,541,Distorted Humor,"Omar Ramirez Bloodstock, Agent VIII",,Omar Ramirez Bloodstock,KY,14,S.R.O.A. (K.O.I.D.),30000,,,10.3," 1/8",04/06/2025,2,68,
7,I,2023,,B,C,01/29/2023,Independence Hall,Kept,542,Exchange Rate,"Majestic, Agent XX",,Majestic,KY,13,Happy Tenth Stable,75000,Y,,10.0," 1/8",04/06/2025,3,112,
8,I,2023,Twirling Lad,B,C,02/22/2023,Twirling Candy,Kerry Girl,543,Pioneerof the Nile,"Six K's Training & Sales LLC, Agent V",,Six K's Training & Sales LLC,NY,20,RNA,-175000,,,21.2," 1/4",04/06/2025,1,26,
9,I,2023,,B,F,01/21/2023,Authentic,Killarney Lass,544,Eskendereya,"Grassroots Training & Sales LLC, Agent II",,Grassroots Training & Sales LLC,KY,J,C.H.P.R.,15000,Y,,10.3," 1/8",04/06/2025,3,117,
10,I,2023,,B,F,01/11/2023,Beau Liam,Killay (GB),545,Aqlaam (GB),Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,KY,J,Black Horse Bloodstock,40000,,,10.1," 1/8",04/06/2025,2,77,
11,I,2023,,B,C,04/21/2023,More Than Ready,Kingdom's Queen,546,Animal Kingdom,"Tom McCrocklin, Agent XXIII",,Tom McCrocklin,KY,18,Kelsey Danner,40000,,,21.4," 1/4",04/06/2025,2,100,
12,O,2023,,B,C,05/03/2023,Essential Quality,Kirov,547,Distorted Humor,Caliente Thoroughbreds,,Caliente Thoroughbreds,KY,E,OUT,,,04/06/2025,,,,,,
13,I,2023,,B,F,05/04/2023,King for a Day,Kiska,548,Into Mischief,"Top Line Sales LLC, Agent IX",,Top Line Sales LLC,NY,1,Clear Stars Stable & Mitre Box Stable,50000,,,10.1," 1/8",04/06/2025,2,97,
14,O,2023,,B,C,04/29/2023,Mitole,Kisses From Kate,549,Harlan's Holiday,"S B M Training and Sales, Agent II",,S B M Training and Sales,IN,2,OUT,,,04/06/2025,,,,,,
15,I,2023,,DB/BR,F,02/11/2023,Win Win Win,Kiteta,550,Smart Strike,Shooting Star Sales LLC,,Shooting Star Sales LLC,FL,12,"Niki Goodwin, Agent",230000,,,10.0," 1/8",04/06/2025,2,63,
16,I,2023,,CH,C,04/07/2023,Audible,Klondike Gal,551,Mineshaft,Dynasty Thoroughbreds,,Dynasty Thoroughbreds,KY,6,RNA,-55000,,,10.1," 1/8",04/06/2025,2,84,
17,I,2023,Silver Zip,DB/BR,F,03/09/2023,Silver State,Knox County Zip,552,City Zip,"Rivera Training and Sales, Agent for Nova Stables",,Rivera Training and Sales,KY,6,Thirty Year Racing,40000,,,10.2," 1/8",04/06/2025,1,49,
18,I,2023,,B,C,02/23/2023,Gormley,Kupuri,553,Tale of the Cat,Sweet River Thoroughbreds,,Sweet River Thoroughbreds,KY,A,S.R.O.A. (K.O.I.D.),30000,,,10.3," 1/8",04/06/2025,1,24,
19,I,2023,,B,F,04/20/2023,Girvin,La Concerto,554,Aptitude,"Camelot Acres Racing and Sales, Agent",,Camelot Acres Racing and Sales,FL,11,RNA,-20000,,,10.1," 1/8",04/06/2025,2,71,
20,I,2023,,GR/RO,F,04/01/2023,Upstart,La Dame Blanche,555,Point of Entry,"Silvestre Chavez Thoroughbreds, Agent IV",,Silvestre Chavez Thoroughbreds,KY,17,RNA,-75000,,,10.2," 1/8",04/06/2025,1,33,
21,I,2023,,CH,F,05/23/2023,Speightstown,Lady Byng,556,Distorted Humor,"Niall Brennan Stables, Agent XXX",,Niall Brennan Stables,KY,8,Gervais Racing,400000,,,10.0," 1/8",04/06/2025,1,6,
22,I,2023,,CH,F,02/25/2023,Tacitus,Lady Cleopatra,557,Pioneerof the Nile,"Omar Ramirez Bloodstock, Agent XI",,Omar Ramirez Bloodstock,KY,14,Ronald Schwartz,35000,,,10.2," 1/8",04/06/2025,2,102,
23,I,2023,,CH,F,03/09/2023,Raging Bull (FR),Lady Juliet,558,Giant's Causeway,"Julie Davies LLC, Agent XXIII",,Julie Davies LLC,KY,10,C.H.P.R.,15000,,,10.2," 1/8",04/06/2025,3,111,
24,I,2023,,DB/BR,F,02/14/2023,Yaupon,Lady Lumberjack,559,Forestry,"Niall Brennan Stables, Agent XXX",,Niall Brennan Stables,KY,8,Case Clay Thoroughbred Management,350000,,,10.0," 1/8",04/06/2025,1,30,
